trip_id,fecha_local,anio,mes,semana_iso,dia_semana,hora,monto_bruto,duracion_min,distancia_km,mxn_por_minuto,origen,destino,estado,enlace_google_maps
cda49361-0cea-4577-890b-285d449e4a38,2024-12-15 23:13:10,2024,12,50,Sunday,23,29.73,3.95,1.39,7.53,"Calle Tecuac, 56250 San Miguel Coatlinchán, México, MX","Calle Jilgueros, 56257 Lomas de San Esteban, México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Calle%20Tecuac%2C%2056250%20San%20Miguel%20Coatlinch%C3%A1n%2C%20M%C3%A9xico%2C%20MX&destination=Calle%20Jilgueros%2C%2056257%20Lomas%20de%20San%20Esteban%2C%20M%C3%A9xico%2C%20MX
2014bac7-415d-4246-9630-5c1481a89bdd,2024-12-15 22:54:00,2024,12,50,Sunday,22,103.97,17.8,7.74,5.84,"Calle Miguel Alemán, 56130 La Trinidad, México, MX","Insurgentes, Texcoco de Mora, 56250 Estado de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Calle%20Miguel%20Alem%C3%A1n%2C%2056130%20La%20Trinidad%2C%20M%C3%A9xico%2C%20MX&destination=Insurgentes%2C%20Texcoco%20de%20Mora%2C%2056250%20Estado%20de%20M%C3%A9xico%2C%20MX
c9c0fce7-beac-495e-9123-4235d20b72fc,2024-12-15 22:34:39,2024,12,50,Sunday,22,121.79,11.07,9.34,11.0,"Calle 27 de Septiembre, 56300 San Salvador Atenco, México, MX","Zaragoza, Texcoco de Mora, 56216 Estado de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Calle%2027%20de%20Septiembre%2C%2056300%20San%20Salvador%20Atenco%2C%20M%C3%A9xico%2C%20MX&destination=Zaragoza%2C%20Texcoco%20de%20Mora%2C%2056216%20Estado%20de%20M%C3%A9xico%2C%20MX
b8526c65-272d-410c-b43c-9067e5583019,2024-12-15 21:20:13,2024,12,50,Sunday,21,141.06,24.2,21.07,5.83,"Col Del Carmen Coyoacán, 04100 Ciudad de México, Ciudad de México, MX","Ote. 6, México D.F., 07900 Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Col%20Del%20Carmen%20Coyoac%C3%A1n%2C%2004100%20Ciudad%20de%20M%C3%A9xico%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Ote.%206%2C%20M%C3%A9xico%20D.F.%2C%2007900%20Ciudad%20de%20M%C3%A9xico%2C%20MX
989207ed-6e4f-41af-98ee-2271719587b1,2024-12-15 21:00:17,2024,12,50,Sunday,21,106.79,17.38,14.21,6.14,"Col Tabacalera, 06030 Cuauhtémoc, CDMX, MX","Guadalupe Inn, 01020 Álvaro Obregón, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Col%20Tabacalera%2C%2006030%20Cuauht%C3%A9moc%2C%20CDMX%2C%20MX&destination=Guadalupe%20Inn%2C%2001020%20%C3%81lvaro%20Obreg%C3%B3n%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
97f18aed-03f4-4d37-a358-a690f8998c1e,2024-12-15 20:34:22,2024,12,50,Sunday,20,77.08,14.98,10.93,5.15,"Del Valle Centro, 03100 Benito Juárez, Mexico City, MX","Guerrero, 06300 Cuauhtémoc, Mexico City, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Del%20Valle%20Centro%2C%2003100%20Benito%20Ju%C3%A1rez%2C%20Mexico%20City%2C%20MX&destination=Guerrero%2C%2006300%20Cuauht%C3%A9moc%2C%20Mexico%20City%2C%20MX
41575231-d874-4e00-8eff-47642cc325ec,2024-12-15 20:11:48,2024,12,50,Sunday,20,87.56,16.03,13.01,5.46,"Tapo, Venustiano Carranza, Col 7 de Julio Venustiano Carranza, 15390 Ciudad de México, CMX, MX","Ciudad de Los Deportes, 03710 Benito Juárez, Mexico City, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Tapo%2C%20Venustiano%20Carranza%2C%20Col%207%20de%20Julio%20Venustiano%20Carranza%2C%2015390%20Ciudad%20de%20M%C3%A9xico%2C%20CMX%2C%20MX&destination=Ciudad%20de%20Los%20Deportes%2C%2003710%20Benito%20Ju%C3%A1rez%2C%20Mexico%20City%2C%20MX
20a92968-6ee4-4fbe-8d31-15a1cdfe46ec,2024-12-15 20:04:26,2024,12,50,Sunday,20,36.28,6.28,3.89,5.78,"Avenida Presidente Plutarco E. Calles, México D.F., 08400 Ciudad de México, MX","Col Diez de Mayo, 15390 Venustiano Carranza, CDMX, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Avenida%20Presidente%20Plutarco%20E.%20Calles%2C%20M%C3%A9xico%20D.F.%2C%2008400%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Col%20Diez%20de%20Mayo%2C%2015390%20Venustiano%20Carranza%2C%20CDMX%2C%20MX
f45306d7-0e4d-4e54-b3e5-e02c8b8ce3b5,2024-12-15 19:43:18,2024,12,50,Sunday,19,71.39,16.68,11.67,4.28,"Mártires de Río Blanco, 07880 Gustavo A. Madero, Ciudad de México, MX","Granjas México, 08400 Iztacalco, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=M%C3%A1rtires%20de%20R%C3%ADo%20Blanco%2C%2007880%20Gustavo%20A.%20Madero%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Granjas%20M%C3%A9xico%2C%2008400%20Iztacalco%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
d9047075-f9d1-4f9a-8ad1-bce5f2ce4044,2024-12-15 19:24:18,2024,12,50,Sunday,19,66.73,12.48,5.17,5.35,"Del Parque, 15970 Venustiano Carranza, Ciudad de México, MX","Tablas de San Agustín, 07860 Gustavo A. Madero, Ciudad de México, MX",COMPLETED,http://googleusercontent.com/maps.google.com/maps?api=1&origin=Del%20Parque%2C%2015970%20Venustiano%20Carranza%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX&destination=Tablas%20de%20San%20Agust%C3%ADn%2C%2007860%20Gustavo%20A.%20Madero%2C%20Ciudad%20de%20M%C3%A9xico%2C%20MX
